x_pixel,y_pixel,distance_cm
100,230,3.91419
101,230,3.91419
102,230,3.91419
103,230,3.89553
104,230,3.89553
105,230,3.87694
106,230,3.87694
107,230,3.85842
108,230,3.85842
109,230,3.83997
110,230,3.82159
111,230,3.82159
112,230,3.80329
113,230,3.80329
114,230,3.80329
115,230,3.78505
116,230,3.78505
117,230,3.78505
118,230,3.76688
119,230,3.76688
120,230,3.76688
121,230,3.74878
122,230,3.74878
123,230,3.74878
124,230,3.73074
125,230,3.73074
126,230,3.73074
127,230,3.73074
128,230,3.71277
129,230,3.71277
130,230,3.71277
131,230,3.71277
132,230,3.73074
133,230,3.71277
134,230,3.71277
135,230,3.69486
136,230,3.67702
137,230,3.64153
138,230,3.60628
139,230,3.58875
140,230,3.57128
141,230,3.55387
142,230,3.53652
143,230,3.53652
144,230,3.51923
145,230,3.51923
146,230,3.502
147,230,3.48482
148,230,3.4677
149,230,3.45064
150,230,3.43363
151,230,3.41667
152,230,3.39978
153,230,3.36614
154,230,3.36614
155,230,3.3494
156,230,3.33272
157,230,3.33272
158,230,3.33272
159,230,3.31608
160,230,3.2995
161,230,3.28297
162,230,3.26649
163,230,3.26649
164,230,3.26649
165,230,3.25006
166,230,3.23368
167,230,3.23368
168,230,3.23368
169,230,3.23368
170,230,3.21735
171,230,3.21735
172,230,3.21735
173,230,3.20107
174,230,3.20107
175,230,3.20107
176,230,3.18483
177,230,3.18483
178,230,3.18483
179,230,3.18483
180,230,3.18483
181,230,3.16865
182,230,3.16865
183,230,3.16865
184,230,3.15251
185,230,3.15251
186,230,3.13642
187,230,3.13642
188,230,3.12038
189,230,3.10438
190,230,3.08843
191,230,3.07252
192,230,3.07252
193,230,3.05666
194,230,3.05666
195,230,3.04084
196,230,3.04084
197,230,3.04084
198,230,3.04084
199,230,3.02507
200,230,3.04084
201,230,3.04084
202,230,3.02507
203,230,3.02507
204,230,3.02507
205,230,3.02507
206,230,3.02507
207,230,3.00934
208,230,2.99366
209,230,2.99366
210,230,2.97802
211,230,2.96242
212,230,2.93135
213,230,2.91588
214,230,2.91588
215,230,2.91588
216,230,2.90045
217,230,2.90045
218,230,2.88506
219,230,2.88506
220,230,2.88506
221,230,2.86971
222,230,2.86971
223,230,2.86971
224,230,2.8544
225,230,2.8544
226,230,2.8544
227,230,2.8544
228,230,2.83913
229,230,2.83913
230,230,2.82391
231,230,2.82391
232,230,2.82391
233,230,2.82391
234,230,2.82391
235,230,2.82391
236,230,2.80872
237,230,2.80872
238,230,2.79357
239,230,2.79357
240,230,2.79357
241,230,2.79357
242,230,2.77846
243,230,2.77846
244,230,2.77846
245,230,2.77846
246,230,2.77846
247,230,2.76339
248,230,2.76339
249,230,2.76339
250,230,2.76339
251,230,2.76339
252,230,2.76339
253,230,2.76339
254,230,2.76339
255,230,2.76339
256,230,2.76339
257,230,2.76339
258,230,2.76339
259,230,2.74836
260,230,2.74836
261,230,2.73336
262,230,2.73336
263,230,2.73336
264,230,2.73336
265,230,2.73336
266,230,2.73336
267,230,2.73336
268,230,2.73336
269,230,2.73336
270,230,2.73336
271,230,2.71841
272,230,2.71841
273,230,2.71841
274,230,2.70349
275,230,2.70349
276,230,2.70349
277,230,2.70349
278,230,2.70349
279,230,2.70349
280,230,2.70349
281,230,2.70349
282,230,2.70349
283,230,2.70349
284,230,2.70349
285,230,2.70349
286,230,2.70349
287,230,2.70349
288,230,2.70349
289,230,2.70349
290,230,2.70349
291,230,2.70349
292,230,2.70349
293,230,2.70349
294,230,2.70349
295,230,2.71841
296,230,2.71841
297,230,2.71841
298,230,2.71841
299,230,2.70349
300,230,2.70349
301,230,2.70349
302,230,2.70349
303,230,2.70349
304,230,2.70349
305,230,2.70349
306,230,2.70349
307,230,2.71841
308,230,2.71841
309,230,2.71841
310,230,2.71841
311,230,2.71841
312,230,2.71841
313,230,2.71841
314,230,2.71841
315,230,2.71841
316,230,2.71841
317,230,2.71841
318,230,2.71841
319,230,2.71841
320,230,2.71841
321,230,2.73336
322,230,2.73336
323,230,2.73336
324,230,2.73336
325,230,2.73336
326,230,2.73336
327,230,2.73336
328,230,2.73336
329,230,2.74836
330,230,2.73336
331,230,2.74836
332,230,2.74836
333,230,2.74836
334,230,2.74836
335,230,2.74836
336,230,2.74836
337,230,2.73336
338,230,2.74836
339,230,2.74836
340,230,2.74836
341,230,2.74836
342,230,2.76339
343,230,2.76339
344,230,2.76339
345,230,2.76339
346,230,2.76339
347,230,2.76339
348,230,2.76339
349,230,2.76339
350,230,2.76339
351,230,2.76339
352,230,2.76339
353,230,2.76339
354,230,2.76339
355,230,2.76339
356,230,2.77846
357,230,2.76339
358,230,2.77846
359,230,2.77846
360,230,2.77846
361,230,2.77846
362,230,2.77846
363,230,2.77846
364,230,2.79357
365,230,2.77846
366,230,2.79357
367,230,2.79357
368,230,2.80872
369,230,2.80872
370,230,2.82391
371,230,2.82391
372,230,2.82391
373,230,2.83913
374,230,2.83913
375,230,2.8544
376,230,2.8544
377,230,2.86971
378,230,2.88506
379,230,2.88506
380,230,2.90045
381,230,2.91588
382,230,2.91588
383,230,2.93135
384,230,2.94686
385,230,2.94686
386,230,2.96242
387,230,2.96242
388,230,2.96242
389,230,2.96242
390,230,2.97802
391,230,2.97802
392,230,2.97802
393,230,2.97802
394,230,2.97802
395,230,2.97802
396,230,2.97802
397,230,2.97802
398,230,2.97802
399,230,2.97802
400,230,2.97802
401,230,2.97802
402,230,2.96242
403,230,2.96242
404,230,2.96242
405,230,2.94686
406,230,2.96242
407,230,2.96242
408,230,2.94686
409,230,2.94686
410,230,2.96242
411,230,2.96242
412,230,2.96242
413,230,2.96242
414,230,2.96242
415,230,2.96242
416,230,2.96242
417,230,2.97802
418,230,2.97802
419,230,2.97802
420,230,2.97802
421,230,2.96242
422,230,2.96242
423,230,2.96242
424,230,2.97802
425,230,2.97802
426,230,2.99366
427,230,2.99366
428,230,2.99366
429,230,2.99366
430,230,2.99366
431,230,2.99366
432,230,2.99366
433,230,2.99366
434,230,2.99366
435,230,2.99366
436,230,3.00934
437,230,3.00934
438,230,3.00934
439,230,3.00934
440,230,3.00934
441,230,3.00934
442,230,3.02507
443,230,3.02507
444,230,3.04084
445,230,3.04084
446,230,3.04084
447,230,3.04084
448,230,3.04084
449,230,3.05666
450,230,3.05666
451,230,3.05666
452,230,3.07252
453,230,3.07252
454,230,3.07252
455,230,3.07252
456,230,3.08843
457,230,3.08843
458,230,3.10438
459,230,3.10438
460,230,3.12038
461,230,3.13642
462,230,3.13642
463,230,3.13642
464,230,3.15251
465,230,3.15251
466,230,3.16865
467,230,3.16865
468,230,3.16865
469,230,3.18483
470,230,3.20107
471,230,3.20107
472,230,3.21735
473,230,3.21735
474,230,3.21735
475,230,3.23368
476,230,3.25006
477,230,3.26649
478,230,3.26649
479,230,3.28297
480,230,3.2995
481,230,3.31608
482,230,3.33272
483,230,3.3494
484,230,3.3494
485,230,3.38293
486,230,3.38293
487,230,3.39978
488,230,3.43363
489,230,3.43363
490,230,3.45064
491,230,3.4677
492,230,3.51923
493,230,3.53652
494,230,3.57128
495,230,3.58875
496,230,3.58875
497,230,3.60628
498,230,3.60628
499,230,3.60628
500,230,3.62388
501,230,3.60628
502,230,3.62388
503,230,3.62388
504,230,3.62388
505,230,3.62388
506,230,3.65924
507,230,3.67702
508,230,3.67702
509,230,3.67702
510,230,3.69486
511,230,3.69486
512,230,3.73074
513,230,3.74878
514,230,3.74878
515,230,3.76688
516,230,3.78505
517,230,3.78505
518,230,3.78505
519,230,3.87694
520,230,3.91419
521,230,3.97062
522,230,4.00862
523,230,4.04694
524,230,4.06621
525,230,4.08557
526,230,4.12454
527,230,4.14415
528,230,4.16384
529,230,4.18362
530,230,4.20349
531,230,4.20349
532,230,4.22344
533,230,4.24349
534,230,4.28386
535,230,4.30419
536,230,4.32461
537,230,4.32461
538,230,4.32461
539,230,4.42818
540,230,4.42818
541,230,4.44921
