laser_id,x_pixel,y_pixel,distance_cm
2,497,145,6.66498
2,498,144,6.69011
2,499,133,6.70895
2,500,132,6.74433
2,501,132,6.85257
2,502,131,6.94597
2,503,131,7.08331
2,504,131,7.21778
2,505,126,7.31875
2,506,108,7.41648
2,507,107,7.66932
2,508,107,7.91889
2,509,107,8.16846
2,510,107,8.41803
2,511,107,8.59399
2,565,88,8.69727
2,566,88,8.78623
2,567,88,8.8665
2,572,88,8.95547
2,601,92,9.04443
2,602,92,9.1334
2,603,93,9.05049
2,604,94,8.90034
2,605,93,8.75019
2,606,93,8.60004
2,607,93,8.50159
2,608,95,8.40315
2,609,106,8.31418
2,610,106,8.23391
2,611,106,8.14991
2,612,107,8.0659
2,613,107,7.97694
2,614,107,7.90474
2,615,107,7.90474
2,616,106,7.90983
2,617,106,7.92016
2,618,107,7.93545
2,619,107,7.95074
2,620,106,7.97143
2,621,105,7.99211
2,622,104,8.00244
2,623,104,8.01277
2,624,104,8.03903
2,625,103,8.06529
2,626,103,8.07038
2,627,104,8.07038
2,628,104,8.06514
2,629,102,8.05991
2,630,102,8.07087
2,631,105,8.07644
2,632,105,8.08777
2,633,105,8.09874
2,634,105,8.10414
2,635,102,8.00584
2,636,102,7.91819
2,637,101,7.85239
2,638,102,7.80533
2,639,103,7.76528
1,514,54,7.73276
1,515,52,7.69223
1,516,51,7.64458
1,517,48,7.57929
1,518,47,7.50561
1,519,46,7.41963
1,520,45,7.47498
