laser_id,x_pixel,y_pixel,distance_cm,baseline_distance,seam_signal
1,131,322,47.0713,44.9513,2.1200
1,132,322,47.0533,44.9220,2.1314
1,133,322,47.0398,44.8926,2.1472
1,134,322,47.0293,44.8632,2.1661
1,135,322,47.0209,44.8339,2.1870
1,136,323,47.0003,44.8046,2.1957
1,137,323,46.9728,44.7753,2.1975
1,138,323,46.9454,44.7494,2.1960
1,139,323,46.9043,44.7299,2.1744
1,140,323,46.8495,44.7104,2.1391
1,141,324,46.7948,44.6909,2.1039
1,142,324,46.7403,44.6747,2.0656
1,143,324,46.6723,44.6650,2.0073
1,144,325,46.5908,44.6650,1.9258
1,145,326,46.5094,44.6650,1.8444
1,146,326,46.4146,44.6650,1.7495
1,147,327,46.3201,44.6650,1.6551
1,148,328,46.2256,44.6650,1.5606
1,149,329,46.1178,44.6650,1.4528
1,150,329,46.0237,44.6650,1.3587
1,151,330,45.9299,44.6650,1.2649
1,152,331,45.8361,44.6650,1.1711
1,153,331,45.7559,44.6585,1.0974
1,154,332,45.6760,44.6521,1.0239
1,155,332,45.6095,44.6521,0.9575
1,156,333,45.5430,44.6521,0.8910
1,157,333,45.4900,44.6456,0.8444
1,158,333,45.4371,44.6488,0.7883
1,159,334,45.3842,44.6521,0.7322
1,160,334,45.3446,44.6521,0.6926
1,161,334,45.3050,44.6521,0.6530
1,162,334,45.2787,44.6521,0.6266
1,163,335,45.2523,44.6521,0.6003
1,164,335,45.2260,44.6521,0.5739
1,165,335,45.2129,44.6521,0.5608
1,166,335,45.1997,44.6521,0.5477
1,167,335,45.1866,44.6521,0.5345
1,168,335,45.1734,44.6521,0.5214
1,169,335,45.1734,44.6521,0.5214
1,170,335,45.1734,44.6521,0.5214
1,171,335,45.1603,44.6521,0.5083
1,172,335,45.1472,44.6553,0.4919
1,173,335,45.1341,44.6585,0.4756
1,174,335,45.1210,44.6618,0.4592
1,175,335,45.1210,44.6650,0.4560
1,176,336,45.1210,44.6650,0.4560
1,177,336,45.1210,44.6650,0.4560
1,178,336,45.1210,44.6650,0.4560
1,179,336,45.1210,44.6650,0.4560
1,180,335,45.1210,44.6650,0.4560
1,181,335,45.1210,44.6650,0.4560
1,182,335,45.1341,44.6650,0.4691
1,183,335,45.1472,44.6650,0.4822
1,184,335,45.1472,44.6650,0.4822
1,185,335,45.1472,44.6650,0.4822
1,186,335,45.1211,44.6650,0.4561
1,187,335,45.0949,44.6650,0.4299
1,188,335,45.0688,44.6650,0.4038
1,189,336,45.0296,44.6650,0.3646
1,190,336,44.9905,44.6650,0.3255
1,191,337,44.9513,44.6650,0.2863
1,192,337,44.9122,44.6650,0.2472
1,193,337,44.8730,44.6650,0.2080
1,194,338,44.8339,44.6650,0.1688
1,195,338,44.7949,44.6650,0.1298
1,196,338,44.7558,44.6650,0.0908
1,197,338,44.7299,44.6650,0.0649
1,198,338,44.7039,44.6650,0.0389
1,199,338,44.6780,44.6650,0.0130
1,200,339,44.6650,44.6650,0.0000
1,201,339,44.6521,44.6650,-0.0130
1,202,339,44.6391,44.6650,-0.0259
1,203,339,44.6261,44.6650,-0.0389
1,204,339,44.6132,44.6650,-0.0518
1,205,339,44.6002,44.6650,-0.0648
1,206,339,44.6002,44.6650,-0.0648
1,207,339,44.6002,44.6650,-0.0648
1,208,339,44.6132,44.6683,-0.0551
1,209,339,44.6261,44.6715,-0.0453
1,210,339,44.6391,44.6747,-0.0356
1,211,339,44.6521,44.6780,-0.0259
1,212,339,44.6650,44.6650,0.0000
1,213,338,44.6650,44.6650,0.0000
1,214,338,44.6650,44.6650,0.0000
1,215,338,44.6650,44.6650,0.0000
1,216,338,44.6650,44.6650,0.0000
1,217,338,44.6650,44.6650,0.0000
1,218,339,44.6650,44.6650,0.0000
1,219,339,44.6521,44.6650,-0.0130
1,220,339,44.6391,44.6650,-0.0259
1,221,339,44.6261,44.6521,-0.0259
1,222,339,44.6132,44.6521,-0.0389
1,223,339,44.6002,44.6521,-0.0518
1,224,339,44.6002,44.6521,-0.0518
1,225,339,44.6002,44.6391,-0.0389
1,226,339,44.6002,44.6391,-0.0389
1,227,339,44.6002,44.6391,-0.0389
1,228,339,44.6002,44.6391,-0.0389
1,229,339,44.6002,44.6261,-0.0259
1,230,339,44.6002,44.6261,-0.0259
1,231,339,44.6002,44.6261,-0.0259
1,232,339,44.6002,44.6261,-0.0259
1,233,339,44.6002,44.6136,-0.0133
1,234,339,44.6002,44.6132,-0.0130
1,235,339,44.6132,44.6132,0.0000
1,236,339,44.6261,44.6132,0.0130
1,237,339,44.6391,44.6132,0.0259
1,238,339,44.6521,44.6002,0.0518
1,239,339,44.6650,44.6002,0.0648
1,240,338,44.6780,44.6002,0.0777
1,241,338,44.6909,44.6002,0.0907
1,242,338,44.7039,44.6002,0.1036
1,243,338,44.7298,44.6002,0.1296
1,244,338,44.7558,44.6002,0.1556
1,245,338,44.7818,44.6002,0.1815
1,246,338,44.7948,44.6002,0.1945
1,247,338,44.8078,44.6002,0.2075
1,248,337,44.8338,44.6002,0.2336
1,249,337,44.8730,44.6002,0.2727
1,250,337,44.9121,44.6002,0.3119
1,251,337,44.9513,44.6002,0.3510
1,252,337,44.9904,44.6002,0.3902
1,253,336,45.0296,44.5618,0.4677
1,254,335,45.0689,44.5101,0.5588
1,255,335,45.1082,44.4586,0.6496
1,256,335,45.1475,44.4586,0.6889
1,257,335,45.2000,44.4586,0.7414
1,258,335,45.2524,44.4586,0.7939
1,259,334,45.3051,44.4586,0.8466
1,260,334,45.3447,44.4586,0.8862
1,261,334,45.3843,44.4586,0.9257
1,262,333,45.4372,44.4586,0.9786
1,263,333,45.4901,44.4586,1.0315
1,264,332,45.5429,44.4586,1.0844
1,265,332,45.5827,44.4586,1.1241
1,266,332,45.6224,44.4586,1.1639
1,267,331,45.6622,44.4586,1.2036
1,268,331,45.6887,44.4586,1.2301
1,269,331,45.7019,44.4586,1.2434
1,270,331,45.7019,44.4586,1.2434
1,271,331,45.7019,44.4586,1.2434
1,272,331,45.7019,44.4586,1.2434
1,273,331,45.6886,44.4586,1.2301
1,274,332,45.6621,44.4586,1.2035
1,275,332,45.6356,44.4586,1.1770
1,276,332,45.6090,44.4586,1.1505
1,277,332,45.5825,44.4586,1.1239
1,278,332,45.5559,44.4586,1.0974
1,279,333,45.5162,44.4586,1.0577
1,280,333,45.4766,44.4586,1.0181
1,281,333,45.4239,44.4586,0.9654
1,282,333,45.3582,44.4586,0.8996
1,283,333,45.2925,44.4586,0.8339
1,284,334,45.2137,44.4586,0.7552
1,285,335,45.1482,44.4586,0.6897
1,286,336,45.0698,44.4586,0.6112
1,287,337,44.9913,44.4586,0.5328
1,288,337,44.9129,44.4586,0.4543
1,289,338,44.8215,44.4586,0.3630
1,290,338,44.7434,44.4586,0.2848
1,291,339,44.6783,44.4586,0.2198
1,292,339,44.6136,44.4586,0.1550
1,293,339,44.5618,44.4586,0.1033
1,294,340,44.5101,44.4586,0.0515
1,295,340,44.4586,44.4586,0.0000
1,296,340,44.4070,44.4586,-0.0515
1,297,341,44.3684,44.4586,-0.0901
1,298,341,44.3298,44.4586,-0.1287
1,299,341,44.2913,44.4586,-0.1673
1,300,342,44.2656,44.4586,-0.1930
1,301,342,44.2399,44.4586,-0.2187
1,302,342,44.2142,44.4586,-0.2443
1,303,342,44.2014,44.4586,-0.2572
1,304,342,44.1886,44.4586,-0.2700
1,305,342,44.1758,44.4586,-0.2828
1,306,342,44.1758,44.4586,-0.2828
1,307,342,44.1758,44.4586,-0.2828
1,308,342,44.1758,44.4586,-0.2828
1,309,342,44.1758,44.4586,-0.2828
1,310,342,44.1758,44.4586,-0.2828
1,311,342,44.1758,44.4586,-0.2828
1,312,342,44.1758,44.4586,-0.2828
1,313,342,44.1758,44.4586,-0.2828
1,314,342,44.1758,44.4586,-0.2828
1,315,342,44.1758,44.4586,-0.2828
1,316,342,44.1886,44.4586,-0.2700
1,317,342,44.2014,44.4586,-0.2572
1,318,342,44.2142,44.4586,-0.2443
1,319,342,44.2270,44.4586,-0.2315
1,320,342,44.2399,44.4586,-0.2187
1,321,341,44.2527,44.4586,-0.2059
1,322,341,44.2784,44.4586,-0.1802
1,323,341,44.3040,44.4586,-0.1545
1,324,341,44.3297,44.4586,-0.1289
1,325,341,44.3554,44.4586,-0.1032
1,326,341,44.3811,44.4586,-0.0775
1,327,340,44.3939,44.4586,-0.0646
1,328,340,44.4068,44.4586,-0.0518
1,329,340,44.4068,44.4586,-0.0518
1,330,340,44.4068,44.4586,-0.0518
1,331,340,44.4068,44.4586,-0.0518
1,332,340,44.4197,44.4586,-0.0389
1,333,340,44.4326,44.4586,-0.0260
1,334,341,44.4455,44.4586,-0.0131
1,335,341,44.4584,44.4586,-0.0002
