x_pixel,y_pixel,distance_cm
118,230,3.65924
119,230,3.64153
120,230,3.62388
121,230,3.62388
122,230,3.60628
123,230,3.58875
124,230,3.58875
125,230,3.57128
126,230,3.57128
127,230,3.55387
128,230,3.55387
129,230,3.53652
130,230,3.53652
131,230,3.51923
132,230,3.502
133,230,3.502
134,230,3.502
135,230,3.502
136,230,3.48482
137,230,3.48482
138,230,3.48482
139,230,3.48482
140,230,3.48482
141,230,3.48482
142,230,3.4677
143,230,3.4677
144,230,3.45064
145,230,3.45064
146,230,3.45064
147,230,3.43363
148,230,3.43363
149,230,3.43363
150,230,3.43363
151,230,3.43363
152,230,3.41667
153,230,3.41667
154,230,3.39978
155,230,3.38293
156,230,3.38293
157,230,3.38293
158,230,3.36614
159,230,3.36614
160,230,3.36614
161,230,3.3494
162,230,3.3494
163,230,3.36614
164,230,3.36614
165,230,3.36614
166,230,3.36614
167,230,3.36614
168,230,3.36614
169,230,3.36614
170,230,3.38293
171,230,3.38293
172,230,3.38293
173,230,3.38293
174,230,3.36614
175,230,3.36614
176,230,3.36614
177,230,3.36614
178,230,3.36614
179,230,3.36614
180,230,3.36614
181,230,3.36614
182,230,3.36614
183,230,3.3494
184,230,3.3494
185,230,3.33272
186,230,3.31608
187,230,3.2995
188,230,3.28297
189,230,3.28297
190,230,3.21735
191,230,3.20107
192,230,3.20107
193,230,3.18483
194,230,3.18483
195,230,3.18483
196,230,3.16865
197,230,3.16865
198,230,3.15251
199,230,3.15251
200,230,3.15251
201,230,3.13642
202,230,3.13642
203,230,3.12038
204,230,3.12038
205,230,3.10438
206,230,3.10438
207,230,3.10438
208,230,3.08843
209,230,3.08843
210,230,3.08843
211,230,3.07252
212,230,3.07252
213,230,3.07252
214,230,3.05666
215,230,3.05666
216,230,3.05666
217,230,3.04084
218,230,3.04084
219,230,3.04084
220,230,3.04084
221,230,3.02507
222,230,3.02507
223,230,3.02507
224,230,3.00934
225,230,3.00934
226,230,3.00934
227,230,2.99366
228,230,2.99366
229,230,2.99366
230,230,2.99366
231,230,2.99366
232,230,2.99366
233,230,2.99366
234,230,2.99366
235,230,2.99366
236,230,2.99366
237,230,2.99366
238,230,2.99366
239,230,2.99366
240,230,2.99366
241,230,2.99366
242,230,2.99366
243,230,2.99366
244,230,2.99366
245,230,2.99366
246,230,2.99366
247,230,2.99366
248,230,2.99366
249,230,2.99366
250,230,2.99366
251,230,2.99366
252,230,2.97802
253,230,2.97802
254,230,2.97802
255,230,2.97802
256,230,2.97802
257,230,2.97802
258,230,2.96242
259,230,2.96242
260,230,2.96242
261,230,2.96242
262,230,2.96242
263,230,2.96242
264,230,2.96242
265,230,2.96242
266,230,2.96242
267,230,2.96242
268,230,2.96242
269,230,2.96242
270,230,2.96242
271,230,2.96242
272,230,2.94686
273,230,2.94686
274,230,2.94686
275,230,2.94686
276,230,2.94686
277,230,2.94686
278,230,2.94686
279,230,2.94686
280,230,2.94686
281,230,2.96242
282,230,2.96242
283,230,2.96242
284,230,2.96242
285,230,2.96242
286,230,2.96242
287,230,2.96242
288,230,2.97802
289,230,2.97802
290,230,2.96242
291,230,2.96242
292,230,2.93135
293,230,2.93135
294,230,2.91588
295,230,2.91588
296,230,2.91588
297,230,2.90045
298,230,2.90045
299,230,2.90045
300,230,2.90045
301,230,2.90045
302,230,2.90045
303,230,2.91588
304,230,2.91588
305,230,2.91588
