laser_id,x_pixel,y_pixel,distance_cm
1,102,201,3.34198
1,103,201,3.3314
1,105,203,3.32231
1,106,203,3.32997
1,107,199,3.33301
1,108,194,3.32999
1,111,204,3.33454
1,112,203,3.34832
1,113,194,3.35741
1,114,198,3.3665
1,115,202,3.37881
1,116,198,3.3742
1,117,192,3.3727
1,118,197,3.36971
1,119,197,3.35154
1,120,191,3.36389
1,121,197,3.37763
1,122,205,3.38068
1,123,205,3.35941
1,124,206,3.35333
1,126,190,3.34575
1,127,193,3.33649
1,128,196,3.32292
1,129,206,3.33347
1,130,201,3.33198
1,131,202,3.31878
1,137,197,3.3049
1,138,206,3.27198
1,139,198,3.25391
1,140,206,3.2614
1,141,215,3.25689
1,142,199,3.23626
1,143,215,3.2066
1,144,208,3.20363
1,145,201,3.18129
1,148,204,3.16809
1,149,216,3.1609
1,150,217,3.12856
1,151,208,3.12711
1,152,213,3.11111
1,153,215,3.08322
1,154,220,3.057
1,155,221,3.04558
1,156,216,3.03843
1,157,219,3.01957
1,159,220,2.994
1,160,222,2.97134
1,161,224,2.9531
1,163,222,2.93629
1,164,221,2.92912
1,165,231,2.91639
1,166,231,2.91354
1,168,233,2.8954
1,169,233,2.887
1,170,221,2.86886
1,171,228,2.84929
1,172,222,2.84104
1,173,235,2.83279
1,174,230,2.82594
1,175,235,2.8287
1,181,235,2.80368
1,183,237,2.78853
1,184,237,2.76357
1,185,238,2.76495
1,187,231,2.76773
1,188,239,2.76636
1,189,239,2.76499
1,190,240,2.77742
1,191,234,2.76661
1,193,228,2.75716
1,194,236,2.73543
1,195,236,2.72467
1,196,228,2.71259
1,197,245,2.70186
1,198,245,2.68161
1,200,247,2.65305
1,203,247,2.63422
1,204,248,2.6154
1,205,248,2.58419
1,206,249,2.60743
1,207,249,2.63206
1,208,250,2.65937
1,211,250,2.67148
1,212,251,2.6662
1,213,228,2.67828
1,214,227,2.6917
1,216,227,2.68642
1,217,238,2.70116
1,218,252,2.6959
1,220,239,2.71195
1,221,239,2.6968
1,224,253,2.68025
1,225,239,2.64109
1,226,254,2.61582
1,227,239,2.60928
1,228,239,2.58407
1,229,239,2.55885
1,230,256,2.55103
1,231,257,2.57463
1,233,257,2.61681
1,234,258,2.61411
1,235,258,2.61005
1,236,259,2.63082
1,237,222,2.64937
1,238,223,2.66788
1,239,241,2.68639
1,240,242,2.68122
