x_pixel,y_pixel,distance_cm
116,230,3.45064
117,230,3.502
118,230,3.502
119,230,3.48482
120,230,3.4677
121,230,3.4677
122,230,3.4677
123,230,3.4677
124,230,3.4677
125,230,3.4677
126,230,3.4677
127,230,3.4677
128,230,3.4677
129,230,3.4677
130,230,3.4677
131,230,3.45064
132,230,3.45064
133,230,3.45064
134,230,3.43363
135,230,3.43363
136,230,3.41667
137,230,3.41667
138,230,3.39978
139,230,3.39978
140,230,3.39978
141,230,3.38293
142,230,3.38293
143,230,3.38293
144,230,3.36614
145,230,3.36614
146,230,3.3494
147,230,3.33272
148,230,3.31608
149,230,3.31608
150,230,3.31608
151,230,3.2995
152,230,3.2995
153,230,3.28297
154,230,3.28297
155,230,3.28297
156,230,3.26649
157,230,3.26649
158,230,3.26649
159,230,3.26649
160,230,3.25006
161,230,3.25006
162,230,3.23368
163,230,3.23368
164,230,3.23368
165,230,3.23368
166,230,3.21735
167,230,3.21735
168,230,3.21735
169,230,3.20107
170,230,3.20107
171,230,3.20107
172,230,3.20107
173,230,3.20107
174,230,3.18483
175,230,3.20107
176,230,3.20107
177,230,3.18483
178,230,3.18483
179,230,3.18483
180,230,3.18483
181,230,3.18483
182,230,3.18483
183,230,3.16865
184,230,3.16865
185,230,3.16865
186,230,3.16865
187,230,3.15251
188,230,3.16865
189,230,3.16865
190,230,3.16865
191,230,3.16865
192,230,3.16865
193,230,3.16865
194,230,3.16865
195,230,3.18483
196,230,3.16865
197,230,3.12038
198,230,3.10438
199,230,3.10438
200,230,3.08843
201,230,3.07252
202,230,3.05666
203,230,3.04084
204,230,3.04084
205,230,3.02507
206,230,3.00934
207,230,2.99366
208,230,2.99366
209,230,2.97802
210,230,2.96242
211,230,2.96242
212,230,2.96242
213,230,2.94686
214,230,2.94686
215,230,2.94686
216,230,2.93135
217,230,2.93135
218,230,2.93135
219,230,2.91588
220,230,2.90045
221,230,2.90045
222,230,2.90045
223,230,2.88506
224,230,2.88506
225,230,2.88506
226,230,2.86971
227,230,2.8544
228,230,2.83913
229,230,2.82391
230,230,2.82391
231,230,2.80872
232,230,2.80872
233,230,2.80872
234,230,2.80872
235,230,2.80872
236,230,2.80872
237,230,2.80872
238,230,2.80872
239,230,2.79357
240,230,2.79357
241,230,2.79357
242,230,2.79357
243,230,2.79357
244,230,2.79357
245,230,2.77846
246,230,2.77846
247,230,2.77846
248,230,2.77846
249,230,2.76339
250,230,2.76339
251,230,2.76339
252,230,2.74836
253,230,2.74836
254,230,2.74836
255,230,2.74836
256,230,2.74836
257,230,2.74836
258,230,2.74836
259,230,2.74836
260,230,2.74836
261,230,2.74836
262,230,2.74836
263,230,2.74836
264,230,2.74836
265,230,2.74836
266,230,2.74836
267,230,2.74836
268,230,2.74836
269,230,2.74836
270,230,2.73336
271,230,2.73336
272,230,2.73336
273,230,2.73336
274,230,2.73336
275,230,2.73336
276,230,2.73336
277,230,2.73336
278,230,2.73336
279,230,2.71841
280,230,2.71841
281,230,2.71841
282,230,2.71841
283,230,2.71841
284,230,2.71841
285,230,2.71841
286,230,2.71841
287,230,2.71841
288,230,2.71841
289,230,2.71841
290,230,2.71841
291,230,2.71841
292,230,2.71841
293,230,2.71841
294,230,2.71841
295,230,2.71841
296,230,2.71841
297,230,2.71841
298,230,2.71841
299,230,2.71841
300,230,2.71841
301,230,2.71841
302,230,2.71841
303,230,2.71841
304,230,2.73336
305,230,2.73336
306,230,2.73336
307,230,2.73336
308,230,2.74836
309,230,2.74836
310,230,2.74836
311,230,2.74836
312,230,2.74836
313,230,2.74836
314,230,2.74836
315,230,2.74836
316,230,2.76339
317,230,2.76339
318,230,2.77846
319,230,2.77846
320,230,2.79357
321,230,2.79357
322,230,2.80872
323,230,2.82391
