laser_id,x_pixel,y_pixel,distance_cm
1,131,218,3.04661
1,132,217,3.05093
1,133,217,3.05524
1,134,217,3.05955
1,135,216,3.06243
1,136,216,3.06531
1,137,216,3.06819
1,138,216,3.06964
1,139,216,3.07108
1,140,216,3.07252
1,141,216,3.07252
1,142,216,3.07108
1,143,216,3.06964
1,144,216,3.06676
1,145,216,3.06244
1,146,216,3.05813
1,147,217,3.05381
1,148,217,3.04807
1,149,218,3.04233
1,150,219,3.03516
1,151,219,3.02799
1,152,219,3.02082
1,153,220,3.01509
1,154,220,3.00937
1,155,221,3.00365
1,156,221,2.99938
1,157,221,2.9951
1,158,221,2.9894
1,159,221,2.98514
1,160,222,2.98087
1,161,222,2.97662
1,162,222,2.97236
1,163,223,2.96811
1,164,223,2.96385
1,165,223,2.95819
1,166,224,2.95395
1,167,224,2.9497
1,168,224,2.94406
1,169,224,2.93982
1,170,225,2.93559
1,171,225,2.93136
1,172,225,2.92855
1,173,226,2.92433
1,174,226,2.92011
1,175,226,2.91589
1,176,226,2.91308
1,177,226,2.90887
1,178,227,2.90466
1,179,227,2.90186
1,180,227,2.89766
1,181,227,2.89486
1,182,228,2.89206
1,183,228,2.88786
1,184,228,2.88507
1,185,229,2.88227
1,186,228,2.87948
1,187,228,2.87669
1,188,229,2.87529
1,189,229,2.87389
1,190,229,2.87111
1,191,229,2.86972
1,192,229,2.86554
1,193,229,2.86137
1,194,229,2.85859
1,195,230,2.85442
1,196,230,2.85026
1,197,231,2.8461
1,198,231,2.84193
1,199,231,2.83639
1,200,232,2.83084
1,201,232,2.82531
1,202,232,2.81978
1,203,232,2.81564
1,204,233,2.8115
1,205,233,2.80736
1,206,234,2.8046
1,207,234,2.80047
1,208,234,2.79634
1,209,234,2.7922
1,210,234,2.78808
1,211,234,2.78396
1,212,235,2.78122
1,213,235,2.77847
1,214,235,2.77573
1,215,236,2.77299
1,216,236,2.77024
1,217,236,2.7675
1,218,236,2.76613
1,219,236,2.76476
1,220,236,2.76339
1,221,236,2.76339
1,222,236,2.76339
1,223,236,2.76202
1,224,236,2.76066
1,225,236,2.75929
1,226,236,2.75656
1,227,236,2.75383
1,228,237,2.7511
1,229,237,2.74837
1,230,237,2.74564
1,231,238,2.74291
1,232,238,2.74018
1,233,238,2.73609
1,234,238,2.73337
1,235,238,2.73065
1,236,238,2.72792
1,237,238,2.72657
1,238,239,2.72521
1,239,239,2.72385
1,240,239,2.72249
1,241,239,2.71977
1,242,239,2.71705
1,243,239,2.71569
1,244,239,2.71434
1,245,239,2.71298
1,246,240,2.71298
1,247,240,2.71298
1,248,239,2.71298
1,249,240,2.71434
1,250,240,2.7157
1,251,239,2.7157
1,252,239,2.71706
1,253,239,2.71977
1,254,238,2.72113
1,255,238,2.72521
1,256,239,2.72929
1,257,239,2.73201
1,258,238,2.73474
1,259,238,2.73883
1,260,237,2.74156
1,261,237,2.74566
1,262,237,2.75112
1,263,237,2.75657
1,264,236,2.76205
1,265,236,2.76752
1,266,235,2.77301
1,267,235,2.77988
1,268,235,2.78674
1,269,234,2.795
1,270,234,2.80188
1,271,233,2.80877
1,272,232,2.81567
1,273,232,2.82258
1,274,231,2.83087
1,275,231,2.83779
1,276,231,2.84471
1,277,230,2.85026
1,278,230,2.85442
1,279,229,2.8572
1,280,229,2.85858
1,281,229,2.86136
1,282,229,2.86414
1,283,229,2.86553
1,284,230,2.86553
1,285,230,2.86553
1,286,229,2.86553
1,287,229,2.86553
1,288,229,2.86553
1,289,230,2.86553
1,290,229,2.86693
1,291,229,2.86832
1,292,229,2.86832
1,293,229,2.86832
1,294,229,2.86832
1,295,229,2.86971
1,296,229,2.86971
1,297,229,2.86971
1,298,229,2.86971
1,299,229,2.86971
1,300,229,2.86971
1,301,229,2.86832
1,302,229,2.86693
1,303,229,2.86
1,304,229,2.85034
1,305,229,2.84067
1,306,230,2.83101
1,307,230,2.82134
1,308,234,2.81168
1,309,236,2.80201
1,310,236,2.79235
1,311,236,2.78131
1,312,236,2.77031
1,313,236,2.75931
1,314,236,2.75383
1,315,236,2.7511
1,316,237,2.74838
